instance_id,n,algorithm,clustering_method,num_clusters,iterations,seed,reference_type,reference_length,solution_length,relative_to_reference,compute_seconds,valid_tour
2,1000,clustered_sa,spectral,64,32000,303,,,31.60384273117007,,0.40856917899964174,True
3,1000,clustered_sa,greedy,16,32000,404,,,43.80907617676503,,0.12121846999980335,True
3,1000,clustered_sa,kmeans,16,32000,404,,,40.27740590004175,,0.17346722500042233,True
3,1000,clustered_sa,hierarchical,16,32000,404,,,41.831150228337215,,0.14612218700040103,True
3,1000,clustered_sa,spectral,16,32000,404,,,40.71277184696382,,0.3544343650000883,True
3,1000,clustered_sa,greedy,22,32000,404,,,39.8131667041192,,0.14543371000036132,True
3,1000,clustered_sa,kmeans,22,32000,404,,,36.902598728672714,,0.19697544400059996,True
3,1000,clustered_sa,hierarchical,22,32000,404,,,36.646823732399724,,0.1718362530000377,True
3,1000,clustered_sa,spectral,22,32000,404,,,36.93650546582642,,0.39816511000026367,True
3,1000,clustered_sa,greedy,32,32000,404,,,35.26309006635754,,0.14428243800011842,True
3,1000,clustered_sa,kmeans,32,32000,404,,,33.88660601721638,,0.17376949099980266,True
3,1000,clustered_sa,hierarchical,32,32000,404,,,33.59178974087111,,0.1507622890003404,True
3,1000,clustered_sa,spectral,32,32000,404,,,33.92230190350972,,0.3765060559999256,True
3,1000,clustered_sa,greedy,44,32000,404,,,34.442000216438906,,0.1291281979993073,True
3,1000,clustered_sa,kmeans,44,32000,404,,,31.89060649189893,,0.2235681719994318,True
3,1000,clustered_sa,hierarchical,44,32000,404,,,32.228895199310706,,0.13916840099955152,True
3,1000,clustered_sa,spectral,44,32000,404,,,33.07883519378269,,0.41911626599994634,True
3,1000,clustered_sa,greedy,64,32000,404,,,34.08420890387726,,0.13920531200074038,True
3,1000,clustered_sa,kmeans,64,32000,404,,,32.09896720789566,,0.28179629199985357,True
3,1000,clustered_sa,hierarchical,64,32000,404,,,31.722797580288383,,0.14755549200071982,True
3,1000,clustered_sa,spectral,64,32000,404,,,31.374015773561055,,0.49623086500014324,True
4,1000,clustered_sa,greedy,16,32000,505,,,46.10312744112554,,0.12163144899932377,True
4,1000,clustered_sa,kmeans,16,32000,505,,,40.692010693260556,,0.1571429639998314,True
